### SNIa toy model generated with mk_snia_toy_model.py version 2018-06-22
#
## Adopted constants:
#
# MSUN = 1.98900000e+33 g
# 56Ni half-life THALF_56NI = 6.07500000e+00 day
# 56Co half-life THALF_56CO = 7.72360000e+01 day
# Energy per 56Ni decay EDECAY_56NI = 1.72060000e+00 MeV
# Energy per 56Co decay EDECAY_56CO = 3.60720000e+00 MeV
#
## Ejecta parameters (actual vs. requested):
#
# Mtot = 9.9990e-01 Msun (1.0000e+00 requested)
# Ekin = 9.9811e+50 erg (1.0000e+51 requested)
# nzones =  807 ; cell size dvel = 5.0000e+01 km/s ; Vmax = 4.0325e+04 km/s
# density profile = expon
# time at which radius, temperature and abundances are calculated, tend = 2.00 DAYS
# M(stable IGE) = 0.0000e+00 Msun (0.0000e+00 requested) with relative (Ni, Fe) fractions = 0.10, 0.90
# M(56Ni,t=0) = 9.9950e-02 Msun (1.0000e-01 requested)
# M(IME) = 8.9995e-01 Msun (9.0000e-01 requested); IMEs = Ca, S, Si with relative fractions = 0.1, 0.35, 0.55
# M(unburnt C/O) = 0.0000e+00 Msun with relative (O, C) fractions = 0.50, 0.50
# dM(IGE,56Ni,IME) = 0.00, 0.20, 0.00 Msun; transition profile = cosine
# ni56 weighted, average column density=7.15e+14 g cm^-2 s^2; t0_gamma=48.93 day

#
# COLUMNS:
#
# (1) zone index
# (2) velocity at zone center [km/s]
# (3) zone mass [Msun]
# (4) Lagrangian mass coordinate (corresponding to outer zone boundary) [Msun]
# (5) IGE mass fraction at t=0
# (6) 56Ni mass fraction at t=0
# (7) IME mass fraction
# (8) Ti mass fraction
# (9) unburnt CO mass fraction
# (10) radius at zone center [cm] = velocity * time_since_explosion (homologous expansion)
# (11) mean density over zone [g/cm^3] (*not* density at zone center)
# (12) temperature [K]
# (13)-(21) mass fractions
#
# NOTES ON MASS FRACTIONS: (14) X_Ni includes X_56Ni; (15) X_Co = X_56Co; (16) X_Fe includes 56Fe from 56Co decay
#
#idx vel[km/s]  dmass[Msun] mass[Msun] X_IGE0     X_56Ni0    X_IME      X_Ti       X_CO       rad[cm]    dens[gcc]  temp[K]    X_56Ni     X_Ni       X_Co       X_Fe       X_Ca       X_S        X_Si       X_O        X_C       
#(1) (2)        (3)        (4)        (5)        (6)        (7)        (8)        (9)        (10)       (11)       (12)       (13)       (14)       (15)       (16)       (17)       (18)       (19)       (20)       (21)      
  37 1.8250e+03 1.8274e-03 2.7153e-02 0.0000e+00 9.5795e-01 4.2047e-02 0.0000e+00 0.0000e+00 3.1536e+13 3.3660e-10 1.0625e+05 7.6250e-01 7.6250e-01 1.9364e-01 1.8097e-03 4.2047e-03 1.4716e-02 2.3126e-02 0.0000e+00 0.0000e+00
  38 1.8750e+03 1.8959e-03 2.9049e-02 0.0000e+00 9.5189e-01 4.8110e-02 0.0000e+00 0.0000e+00 3.2400e+13 3.3083e-10 1.0562e+05 7.5767e-01 7.5767e-01 1.9242e-01 1.7982e-03 4.8110e-03 1.6838e-02 2.6460e-02 0.0000e+00 0.0000e+00
  39 1.9250e+03 1.9641e-03 3.1013e-02 0.0000e+00 9.4520e-01 5.4803e-02 0.0000e+00 0.0000e+00 3.3264e+13 3.2517e-10 1.0498e+05 7.5235e-01 7.5235e-01 1.9107e-01 1.7856e-03 5.4803e-03 1.9181e-02 3.0142e-02 0.0000e+00 0.0000e+00
  40 1.9750e+03 2.0321e-03 3.3045e-02 0.0000e+00 9.3783e-01 6.2167e-02 0.0000e+00 0.0000e+00 3.4128e+13 3.1960e-10 1.0432e+05 7.4649e-01 7.4649e-01 1.8958e-01 1.7717e-03 6.2167e-03 2.1758e-02 3.4192e-02 0.0000e+00 0.0000e+00
  41 2.0250e+03 2.0997e-03 3.5145e-02 0.0000e+00 9.2977e-01 7.0230e-02 0.0000e+00 0.0000e+00 3.4992e+13 3.1413e-10 1.0365e+05 7.4007e-01 7.4007e-01 1.8795e-01 1.7564e-03 7.0230e-03 2.4580e-02 3.8626e-02 0.0000e+00 0.0000e+00
  42 2.0750e+03 2.1669e-03 3.7312e-02 0.0000e+00 9.2097e-01 7.9031e-02 0.0000e+00 0.0000e+00 3.5856e+13 3.0875e-10 1.0296e+05 7.3306e-01 7.3306e-01 1.8617e-01 1.7398e-03 7.9031e-03 2.7661e-02 4.3467e-02 0.0000e+00 0.0000e+00
  43 2.1250e+03 2.2337e-03 3.9546e-02 0.0000e+00 9.1139e-01 8.8607e-02 0.0000e+00 0.0000e+00 3.6720e+13 3.0346e-10 1.0225e+05 7.2544e-01 7.2544e-01 1.8423e-01 1.7217e-03 8.8607e-03 3.1013e-02 4.8734e-02 0.0000e+00 0.0000e+00
  44 2.1750e+03 2.3000e-03 4.1846e-02 0.0000e+00 9.0102e-01 9.8983e-02 0.0000e+00 0.0000e+00 3.7584e+13 2.9827e-10 1.0152e+05 7.1718e-01 7.1718e-01 1.8213e-01 1.7021e-03 9.8983e-03 3.4644e-02 5.4441e-02 0.0000e+00 0.0000e+00
  45 2.2250e+03 2.3657e-03 4.4211e-02 0.0000e+00 8.8981e-01 1.1019e-01 0.0000e+00 0.0000e+00 3.8448e+13 2.9316e-10 1.0076e+05 7.0826e-01 7.0826e-01 1.7987e-01 1.6810e-03 1.1019e-02 3.8567e-02 6.0605e-02 0.0000e+00 0.0000e+00
  46 2.2750e+03 2.4309e-03 4.6642e-02 0.0000e+00 8.7774e-01 1.2226e-01 0.0000e+00 0.0000e+00 3.9312e+13 2.8814e-10 9.9987e+04 6.9865e-01 6.9865e-01 1.7743e-01 1.6581e-03 1.2226e-02 4.2792e-02 6.7245e-02 0.0000e+00 0.0000e+00
